"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1230","verify error message is displayed with null input","chromium","Fri Sep 19 09:24:57 UTC 2025","passed","Fri Sep 19 09:24:58 UTC 2025","Swag Labs Your Information Feature","swagLabs/your-information.spec.ts","",""
"","1265","verify items name, description and price in your cart page","chromium","Fri Sep 19 09:24:53 UTC 2025","passed","Fri Sep 19 09:24:54 UTC 2025","Swag Labs Your Cart Feature","swagLabs/your-cart-feature.spec.ts","",""
"","1182","verify number items is selected in cart","chromium","Fri Sep 19 09:24:53 UTC 2025","passed","Fri Sep 19 09:24:54 UTC 2025","Swag Labs Your Cart Feature","swagLabs/your-cart-feature.spec.ts","",""
"","1059","[swagLabs] login successfully","chromium","Fri Sep 19 09:24:50 UTC 2025","passed","Fri Sep 19 09:24:51 UTC 2025","Swaglabs login feature","swagLabs/login-feature.spec.ts","",""
"","964","[swagLabs] login with problem user","chromium","Fri Sep 19 09:24:51 UTC 2025","passed","Fri Sep 19 09:24:52 UTC 2025","Swaglabs login feature","swagLabs/login-feature.spec.ts","",""
"","1613","verify user can remove item from cart","chromium","Fri Sep 19 09:24:54 UTC 2025","passed","Fri Sep 19 09:24:56 UTC 2025","Swag Labs Your Cart Feature","swagLabs/your-cart-feature.spec.ts","",""
"","868","[login] login failed","chromium","Fri Sep 19 09:24:51 UTC 2025","passed","Fri Sep 19 09:24:52 UTC 2025","Swaglabs login feature","swagLabs/login-feature.spec.ts","",""
"","6318","[swagLabs] login with performance glitch user","chromium","Fri Sep 19 09:24:51 UTC 2025","passed","Fri Sep 19 09:24:58 UTC 2025","Swaglabs login feature","swagLabs/login-feature.spec.ts","",""
"","819","[swagLabs] login with visual user","chromium","Fri Sep 19 09:24:52 UTC 2025","passed","Fri Sep 19 09:24:53 UTC 2025","Swaglabs login feature","swagLabs/login-feature.spec.ts","",""
"","1567","[swagLabs] sort item A to Z","chromium","Fri Sep 19 09:24:48 UTC 2025","passed","Fri Sep 19 09:24:50 UTC 2025","Swag Labs Tests","swagLabs/home-feature.spec.ts","",""
"","1311","verify user can navigate to Your Information page","chromium","Fri Sep 19 09:24:56 UTC 2025","passed","Fri Sep 19 09:24:57 UTC 2025","Swag Labs Your Information Feature","swagLabs/your-information.spec.ts","",""
"","1122","[swagLabs] sort item low to high","chromium","Fri Sep 19 09:24:50 UTC 2025","passed","Fri Sep 19 09:24:51 UTC 2025","Swag Labs Tests","swagLabs/home-feature.spec.ts","",""
"","1085","[swagLabs] sort item high to low","chromium","Fri Sep 19 09:24:50 UTC 2025","passed","Fri Sep 19 09:24:51 UTC 2025","Swag Labs Tests","swagLabs/home-feature.spec.ts","",""
"","1670","[swagLabs] verify cart display number is selected","chromium","Fri Sep 19 09:24:48 UTC 2025","passed","Fri Sep 19 09:24:50 UTC 2025","Swag Labs Tests","swagLabs/home-feature.spec.ts","",""
"","1504","[swagLabs] sort item Z to A","chromium","Fri Sep 19 09:24:48 UTC 2025","passed","Fri Sep 19 09:24:50 UTC 2025","Swag Labs Tests","swagLabs/home-feature.spec.ts","",""
"","2289","verify user can continue shopping and add item again from your cart page","chromium","Fri Sep 19 09:24:54 UTC 2025","passed","Fri Sep 19 09:24:57 UTC 2025","Swag Labs Your Cart Feature","swagLabs/your-cart-feature.spec.ts","",""
"","798","[swagLabs] login with error user","chromium","Fri Sep 19 09:24:52 UTC 2025","passed","Fri Sep 19 09:24:53 UTC 2025","Swaglabs login feature","swagLabs/login-feature.spec.ts","",""
