"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1132","[swagLabs] sort item low to high","chromium","Thu Sep 18 08:39:43 UTC 2025","passed","Thu Sep 18 08:39:44 UTC 2025","Swag Labs Tests","swagLabs/home-feature.spec.ts","",""
"","840","[swagLabs] login with error user","chromium","Thu Sep 18 08:39:45 UTC 2025","passed","Thu Sep 18 08:39:46 UTC 2025","Swaglabs login feature","swagLabs/login-feature.spec.ts","",""
"","940","[swagLabs] login with problem user","chromium","Thu Sep 18 08:39:44 UTC 2025","passed","Thu Sep 18 08:39:45 UTC 2025","Swaglabs login feature","swagLabs/login-feature.spec.ts","",""
"","1391","[swagLabs] sort item A to Z","chromium","Thu Sep 18 08:39:42 UTC 2025","passed","Thu Sep 18 08:39:43 UTC 2025","Swag Labs Tests","swagLabs/home-feature.spec.ts","",""
"","1618","verify user can remove item from cart","chromium","Thu Sep 18 08:39:47 UTC 2025","passed","Thu Sep 18 08:39:49 UTC 2025","Swag Labs Your Cart Feature","swagLabs/your-cart-feature.spec.ts","",""
"","794","[swagLabs] login with visual user","chromium","Thu Sep 18 08:39:45 UTC 2025","passed","Thu Sep 18 08:39:46 UTC 2025","Swaglabs login feature","swagLabs/login-feature.spec.ts","",""
"","1426","[swagLabs] sort item Z to A","chromium","Thu Sep 18 08:39:42 UTC 2025","passed","Thu Sep 18 08:39:43 UTC 2025","Swag Labs Tests","swagLabs/home-feature.spec.ts","",""
"","1141","[swagLabs] sort item high to low","chromium","Thu Sep 18 08:39:43 UTC 2025","passed","Thu Sep 18 08:39:44 UTC 2025","Swag Labs Tests","swagLabs/home-feature.spec.ts","",""
"","868","[login] login failed","chromium","Thu Sep 18 08:39:44 UTC 2025","passed","Thu Sep 18 08:39:45 UTC 2025","Swaglabs login feature","swagLabs/login-feature.spec.ts","",""
"","1616","[swagLabs] verify cart display number is selected","chromium","Thu Sep 18 08:39:42 UTC 2025","passed","Thu Sep 18 08:39:43 UTC 2025","Swag Labs Tests","swagLabs/home-feature.spec.ts","",""
"","2289","verify user can continue shopping and add item again from your cart page","chromium","Thu Sep 18 08:39:47 UTC 2025","passed","Thu Sep 18 08:39:50 UTC 2025","Swag Labs Your Cart Feature","swagLabs/your-cart-feature.spec.ts","",""
"","1252","verify items name, description and price in your cart page","chromium","Thu Sep 18 08:39:46 UTC 2025","passed","Thu Sep 18 08:39:47 UTC 2025","Swag Labs Your Cart Feature","swagLabs/your-cart-feature.spec.ts","",""
"","6324","[swagLabs] login with performance glitch user","chromium","Thu Sep 18 08:39:44 UTC 2025","passed","Thu Sep 18 08:39:51 UTC 2025","Swaglabs login feature","swagLabs/login-feature.spec.ts","",""
"","1246","verify number items is selected in cart","chromium","Thu Sep 18 08:39:46 UTC 2025","passed","Thu Sep 18 08:39:47 UTC 2025","Swag Labs Your Cart Feature","swagLabs/your-cart-feature.spec.ts","",""
"","1328","verify user can navigate to Your Information page","chromium","Thu Sep 18 08:39:49 UTC 2025","passed","Thu Sep 18 08:39:50 UTC 2025","Swag Labs Your Information Feature","swagLabs/your-information.spec.ts","",""
"","1126","[swagLabs] login successfully","chromium","Thu Sep 18 08:39:43 UTC 2025","passed","Thu Sep 18 08:39:44 UTC 2025","Swaglabs login feature","swagLabs/login-feature.spec.ts","",""
"","1230","verify error message is displayed with null input","chromium","Thu Sep 18 08:39:50 UTC 2025","passed","Thu Sep 18 08:39:51 UTC 2025","Swag Labs Your Information Feature","swagLabs/your-information.spec.ts","",""
