"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1493","verify user can navigate to Your Information page","chromium","Fri Sep 19 09:25:29 UTC 2025","passed","Fri Sep 19 09:25:31 UTC 2025","Swag Labs Your Information Feature","swagLabs/your-information.spec.ts","",""
"","883","[swagLabs] login with error user","chromium","Fri Sep 19 09:25:25 UTC 2025","passed","Fri Sep 19 09:25:26 UTC 2025","Swaglabs login feature","swagLabs/login-feature.spec.ts","",""
"","1306","verify number items is selected in cart","chromium","Fri Sep 19 09:25:26 UTC 2025","passed","Fri Sep 19 09:25:27 UTC 2025","Swag Labs Your Cart Feature","swagLabs/your-cart-feature.spec.ts","",""
"","1188","[swagLabs] sort item low to high","chromium","Fri Sep 19 09:25:23 UTC 2025","passed","Fri Sep 19 09:25:24 UTC 2025","Swag Labs Tests","swagLabs/home-feature.spec.ts","",""
"","1078","[swagLabs] login successfully","chromium","Fri Sep 19 09:25:23 UTC 2025","passed","Fri Sep 19 09:25:24 UTC 2025","Swaglabs login feature","swagLabs/login-feature.spec.ts","",""
"","2386","verify user can continue shopping and add item again from your cart page","chromium","Fri Sep 19 09:25:27 UTC 2025","passed","Fri Sep 19 09:25:30 UTC 2025","Swag Labs Your Cart Feature","swagLabs/your-cart-feature.spec.ts","",""
"","1712","[swagLabs] sort item A to Z","chromium","Fri Sep 19 09:25:21 UTC 2025","passed","Fri Sep 19 09:25:23 UTC 2025","Swag Labs Tests","swagLabs/home-feature.spec.ts","",""
"","1739","verify user can remove item from cart","chromium","Fri Sep 19 09:25:27 UTC 2025","passed","Fri Sep 19 09:25:29 UTC 2025","Swag Labs Your Cart Feature","swagLabs/your-cart-feature.spec.ts","",""
"","1798","[swagLabs] verify cart display number is selected","chromium","Fri Sep 19 09:25:21 UTC 2025","passed","Fri Sep 19 09:25:23 UTC 2025","Swag Labs Tests","swagLabs/home-feature.spec.ts","",""
"","861","[swagLabs] login with visual user","chromium","Fri Sep 19 09:25:25 UTC 2025","passed","Fri Sep 19 09:25:26 UTC 2025","Swaglabs login feature","swagLabs/login-feature.spec.ts","",""
"","1208","[swagLabs] sort item high to low","chromium","Fri Sep 19 09:25:23 UTC 2025","passed","Fri Sep 19 09:25:24 UTC 2025","Swag Labs Tests","swagLabs/home-feature.spec.ts","",""
"","1504","verify error message is displayed with null input","chromium","Fri Sep 19 09:25:30 UTC 2025","passed","Fri Sep 19 09:25:31 UTC 2025","Swag Labs Your Information Feature","swagLabs/your-information.spec.ts","",""
"","6619","[swagLabs] login with performance glitch user","chromium","Fri Sep 19 09:25:24 UTC 2025","passed","Fri Sep 19 09:25:31 UTC 2025","Swaglabs login feature","swagLabs/login-feature.spec.ts","",""
"","1311","verify items name, description and price in your cart page","chromium","Fri Sep 19 09:25:26 UTC 2025","passed","Fri Sep 19 09:25:27 UTC 2025","Swag Labs Your Cart Feature","swagLabs/your-cart-feature.spec.ts","",""
"","1766","[swagLabs] sort item Z to A","chromium","Fri Sep 19 09:25:21 UTC 2025","passed","Fri Sep 19 09:25:23 UTC 2025","Swag Labs Tests","swagLabs/home-feature.spec.ts","",""
"","893","[login] login failed","chromium","Fri Sep 19 09:25:24 UTC 2025","passed","Fri Sep 19 09:25:25 UTC 2025","Swaglabs login feature","swagLabs/login-feature.spec.ts","",""
"","957","[swagLabs] login with problem user","chromium","Fri Sep 19 09:25:24 UTC 2025","passed","Fri Sep 19 09:25:25 UTC 2025","Swaglabs login feature","swagLabs/login-feature.spec.ts","",""
