"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1142","[swagLabs] sort item low to high","chromium","Fri Sep 19 09:16:09 UTC 2025","passed","Fri Sep 19 09:16:10 UTC 2025","Swag Labs Tests","swagLabs/home-feature.spec.ts","",""
"","1444","[swagLabs] sort item A to Z","chromium","Fri Sep 19 09:16:07 UTC 2025","passed","Fri Sep 19 09:16:08 UTC 2025","Swag Labs Tests","swagLabs/home-feature.spec.ts","",""
"","1482","[swagLabs] sort item Z to A","chromium","Fri Sep 19 09:16:07 UTC 2025","passed","Fri Sep 19 09:16:09 UTC 2025","Swag Labs Tests","swagLabs/home-feature.spec.ts","",""
"","1306","verify items name, description and price in your cart page","chromium","Fri Sep 19 09:16:12 UTC 2025","passed","Fri Sep 19 09:16:13 UTC 2025","Swag Labs Your Cart Feature","swagLabs/your-cart-feature.spec.ts","",""
"","1283","verify error message is displayed with null input","chromium","Fri Sep 19 09:16:15 UTC 2025","passed","Fri Sep 19 09:16:16 UTC 2025","Swag Labs Your Information Feature","swagLabs/your-information.spec.ts","",""
"","832","[swagLabs] login with visual user","chromium","Fri Sep 19 09:16:11 UTC 2025","passed","Fri Sep 19 09:16:12 UTC 2025","Swaglabs login feature","swagLabs/login-feature.spec.ts","",""
"","1606","[swagLabs] verify cart display number is selected","chromium","Fri Sep 19 09:16:07 UTC 2025","passed","Fri Sep 19 09:16:09 UTC 2025","Swag Labs Tests","swagLabs/home-feature.spec.ts","",""
"","1106","[swagLabs] login successfully","chromium","Fri Sep 19 09:16:09 UTC 2025","passed","Fri Sep 19 09:16:10 UTC 2025","Swaglabs login feature","swagLabs/login-feature.spec.ts","",""
"","2240","verify user can continue shopping and add item again from your cart page","chromium","Fri Sep 19 09:16:13 UTC 2025","passed","Fri Sep 19 09:16:15 UTC 2025","Swag Labs Your Cart Feature","swagLabs/your-cart-feature.spec.ts","",""
"","1269","verify number items is selected in cart","chromium","Fri Sep 19 09:16:12 UTC 2025","passed","Fri Sep 19 09:16:13 UTC 2025","Swag Labs Your Cart Feature","swagLabs/your-cart-feature.spec.ts","",""
"","853","[login] login failed","chromium","Fri Sep 19 09:16:10 UTC 2025","passed","Fri Sep 19 09:16:11 UTC 2025","Swaglabs login feature","swagLabs/login-feature.spec.ts","",""
"","894","[swagLabs] login with problem user","chromium","Fri Sep 19 09:16:10 UTC 2025","passed","Fri Sep 19 09:16:11 UTC 2025","Swaglabs login feature","swagLabs/login-feature.spec.ts","",""
"","1607","verify user can remove item from cart","chromium","Fri Sep 19 09:16:13 UTC 2025","passed","Fri Sep 19 09:16:14 UTC 2025","Swag Labs Your Cart Feature","swagLabs/your-cart-feature.spec.ts","",""
"","905","[swagLabs] login with error user","chromium","Fri Sep 19 09:16:11 UTC 2025","passed","Fri Sep 19 09:16:12 UTC 2025","Swaglabs login feature","swagLabs/login-feature.spec.ts","",""
"","1362","verify user can navigate to Your Information page","chromium","Fri Sep 19 09:16:14 UTC 2025","passed","Fri Sep 19 09:16:16 UTC 2025","Swag Labs Your Information Feature","swagLabs/your-information.spec.ts","",""
"","6378","[swagLabs] login with performance glitch user","chromium","Fri Sep 19 09:16:10 UTC 2025","passed","Fri Sep 19 09:16:16 UTC 2025","Swaglabs login feature","swagLabs/login-feature.spec.ts","",""
"","1101","[swagLabs] sort item high to low","chromium","Fri Sep 19 09:16:09 UTC 2025","passed","Fri Sep 19 09:16:10 UTC 2025","Swag Labs Tests","swagLabs/home-feature.spec.ts","",""
