"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1424","verify user can navigate to Your Information page","chromium","Wed Sep 17 09:23:39 UTC 2025","passed","Wed Sep 17 09:23:40 UTC 2025","Swag Labs Your Information Feature","swagLabs/your-information.spec.ts","",""
"","2309","verify user can continue shopping and add item again from your cart page","chromium","Wed Sep 17 09:23:37 UTC 2025","passed","Wed Sep 17 09:23:40 UTC 2025","Swag Labs Your Cart Feature","swagLabs/your-cart-feature.spec.ts","",""
"","1384","verify error message is displayed with null input","chromium","Wed Sep 17 09:23:40 UTC 2025","passed","Wed Sep 17 09:23:41 UTC 2025","Swag Labs Your Information Feature","swagLabs/your-information.spec.ts","",""
"","1193","verify number items is selected in cart","chromium","Wed Sep 17 09:23:36 UTC 2025","passed","Wed Sep 17 09:23:37 UTC 2025","Swag Labs Your Cart Feature","swagLabs/your-cart-feature.spec.ts","",""
"","878","[swagLabs] login with error user","chromium","Wed Sep 17 09:23:35 UTC 2025","passed","Wed Sep 17 09:23:36 UTC 2025","Swaglabs login feature","swagLabs/login-feature.spec.ts","",""
"","1161","[swagLabs] sort item high to low","chromium","Wed Sep 17 09:23:33 UTC 2025","passed","Wed Sep 17 09:23:34 UTC 2025","Swag Labs Tests","swagLabs/home-feature.spec.ts","",""
"","1056","[swagLabs] login successfully","chromium","Wed Sep 17 09:23:33 UTC 2025","passed","Wed Sep 17 09:23:34 UTC 2025","Swaglabs login feature","swagLabs/login-feature.spec.ts","",""
"","921","[login] login failed","chromium","Wed Sep 17 09:23:34 UTC 2025","passed","Wed Sep 17 09:23:35 UTC 2025","Swaglabs login feature","swagLabs/login-feature.spec.ts","",""
"","866","[swagLabs] login with visual user","chromium","Wed Sep 17 09:23:35 UTC 2025","passed","Wed Sep 17 09:23:36 UTC 2025","Swaglabs login feature","swagLabs/login-feature.spec.ts","",""
"","1736","[swagLabs] verify cart display number is selected","chromium","Wed Sep 17 09:23:31 UTC 2025","passed","Wed Sep 17 09:23:33 UTC 2025","Swag Labs Tests","swagLabs/home-feature.spec.ts","",""
"","6582","[swagLabs] login with performance glitch user","chromium","Wed Sep 17 09:23:34 UTC 2025","passed","Wed Sep 17 09:23:41 UTC 2025","Swaglabs login feature","swagLabs/login-feature.spec.ts","",""
"","1644","verify user can remove item from cart","chromium","Wed Sep 17 09:23:37 UTC 2025","passed","Wed Sep 17 09:23:39 UTC 2025","Swag Labs Your Cart Feature","swagLabs/your-cart-feature.spec.ts","",""
"","1302","verify items name, description and price in your cart page","chromium","Wed Sep 17 09:23:36 UTC 2025","passed","Wed Sep 17 09:23:37 UTC 2025","Swag Labs Your Cart Feature","swagLabs/your-cart-feature.spec.ts","",""
"","1350","[swagLabs] sort item A to Z","chromium","Wed Sep 17 09:23:31 UTC 2025","passed","Wed Sep 17 09:23:33 UTC 2025","Swag Labs Tests","swagLabs/home-feature.spec.ts","",""
"","979","[swagLabs] login with problem user","chromium","Wed Sep 17 09:23:34 UTC 2025","passed","Wed Sep 17 09:23:35 UTC 2025","Swaglabs login feature","swagLabs/login-feature.spec.ts","",""
"","1132","[swagLabs] sort item low to high","chromium","Wed Sep 17 09:23:33 UTC 2025","passed","Wed Sep 17 09:23:34 UTC 2025","Swag Labs Tests","swagLabs/home-feature.spec.ts","",""
"","1496","[swagLabs] sort item Z to A","chromium","Wed Sep 17 09:23:31 UTC 2025","passed","Wed Sep 17 09:23:33 UTC 2025","Swag Labs Tests","swagLabs/home-feature.spec.ts","",""
