"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1340","[swagLabs] sort item A to Z","chromium","Thu Sep 18 09:12:34 UTC 2025","passed","Thu Sep 18 09:12:36 UTC 2025","Swag Labs Tests","swagLabs/home-feature.spec.ts","",""
"","811","[swagLabs] login with error user","chromium","Thu Sep 18 09:12:38 UTC 2025","passed","Thu Sep 18 09:12:39 UTC 2025","Swaglabs login feature","swagLabs/login-feature.spec.ts","",""
"","1361","[swagLabs] sort item Z to A","chromium","Thu Sep 18 09:12:34 UTC 2025","passed","Thu Sep 18 09:12:36 UTC 2025","Swag Labs Tests","swagLabs/home-feature.spec.ts","",""
"","1095","[swagLabs] sort item high to low","chromium","Thu Sep 18 09:12:36 UTC 2025","passed","Thu Sep 18 09:12:37 UTC 2025","Swag Labs Tests","swagLabs/home-feature.spec.ts","",""
"","1490","verify user can navigate to Your Information page","chromium","Thu Sep 18 09:12:42 UTC 2025","passed","Thu Sep 18 09:12:43 UTC 2025","Swag Labs Your Information Feature","swagLabs/your-information.spec.ts","",""
"","868","[login] login failed","chromium","Thu Sep 18 09:12:37 UTC 2025","passed","Thu Sep 18 09:12:38 UTC 2025","Swaglabs login feature","swagLabs/login-feature.spec.ts","",""
"","1480","[swagLabs] verify cart display number is selected","chromium","Thu Sep 18 09:12:35 UTC 2025","passed","Thu Sep 18 09:12:36 UTC 2025","Swag Labs Tests","swagLabs/home-feature.spec.ts","",""
"","1026","[swagLabs] login successfully","chromium","Thu Sep 18 09:12:36 UTC 2025","passed","Thu Sep 18 09:12:37 UTC 2025","Swaglabs login feature","swagLabs/login-feature.spec.ts","",""
"","809","[swagLabs] login with visual user","chromium","Thu Sep 18 09:12:38 UTC 2025","passed","Thu Sep 18 09:12:39 UTC 2025","Swaglabs login feature","swagLabs/login-feature.spec.ts","",""
"","1240","verify error message is displayed with null input","chromium","Thu Sep 18 09:12:43 UTC 2025","passed","Thu Sep 18 09:12:44 UTC 2025","Swag Labs Your Information Feature","swagLabs/your-information.spec.ts","",""
"","1365","verify number items is selected in cart","chromium","Thu Sep 18 09:12:39 UTC 2025","passed","Thu Sep 18 09:12:40 UTC 2025","Swag Labs Your Cart Feature","swagLabs/your-cart-feature.spec.ts","",""
"","1802","verify user can remove item from cart","chromium","Thu Sep 18 09:12:40 UTC 2025","passed","Thu Sep 18 09:12:42 UTC 2025","Swag Labs Your Cart Feature","swagLabs/your-cart-feature.spec.ts","",""
"","1124","[swagLabs] sort item low to high","chromium","Thu Sep 18 09:12:36 UTC 2025","passed","Thu Sep 18 09:12:37 UTC 2025","Swag Labs Tests","swagLabs/home-feature.spec.ts","",""
"","942","[swagLabs] login with problem user","chromium","Thu Sep 18 09:12:37 UTC 2025","passed","Thu Sep 18 09:12:38 UTC 2025","Swaglabs login feature","swagLabs/login-feature.spec.ts","",""
"","1530","verify items name, description and price in your cart page","chromium","Thu Sep 18 09:12:39 UTC 2025","passed","Thu Sep 18 09:12:40 UTC 2025","Swag Labs Your Cart Feature","swagLabs/your-cart-feature.spec.ts","",""
"","2628","verify user can continue shopping and add item again from your cart page","chromium","Thu Sep 18 09:12:40 UTC 2025","passed","Thu Sep 18 09:12:43 UTC 2025","Swag Labs Your Cart Feature","swagLabs/your-cart-feature.spec.ts","",""
"","6635","[swagLabs] login with performance glitch user","chromium","Thu Sep 18 09:12:37 UTC 2025","passed","Thu Sep 18 09:12:44 UTC 2025","Swaglabs login feature","swagLabs/login-feature.spec.ts","",""
