"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1764","verify error message is displayed with null input","chromium","Wed Sep 17 08:19:24 UTC 2025","passed","Wed Sep 17 08:19:26 UTC 2025","Swag Labs Your Information Feature","swagLabs/your-information.spec.ts","",""
"","1215","[swagLabs] login successfully","chromium","Wed Sep 17 08:19:18 UTC 2025","passed","Wed Sep 17 08:19:19 UTC 2025","Swaglabs login feature","swagLabs/login-feature.spec.ts","",""
"","1290","verify number items is selected in cart","chromium","Wed Sep 17 08:19:21 UTC 2025","passed","Wed Sep 17 08:19:22 UTC 2025","Swag Labs Your Cart Feature","swagLabs/your-cart-feature.spec.ts","",""
"","1365","verify items name, description and price in your cart page","chromium","Wed Sep 17 08:19:21 UTC 2025","passed","Wed Sep 17 08:19:22 UTC 2025","Swag Labs Your Cart Feature","swagLabs/your-cart-feature.spec.ts","",""
"","1049","[swagLabs] login with problem user","chromium","Wed Sep 17 08:19:19 UTC 2025","passed","Wed Sep 17 08:19:20 UTC 2025","Swaglabs login feature","swagLabs/login-feature.spec.ts","",""
"","1655","[swagLabs] verify cart display number is selected","chromium","Wed Sep 17 08:19:16 UTC 2025","passed","Wed Sep 17 08:19:18 UTC 2025","Swag Labs Tests","swagLabs/home-feature.spec.ts","",""
"","2341","verify user can continue shopping and add item again from your cart page","chromium","Wed Sep 17 08:19:22 UTC 2025","passed","Wed Sep 17 08:19:24 UTC 2025","Swag Labs Your Cart Feature","swagLabs/your-cart-feature.spec.ts","",""
"","1682","verify user can navigate to Your Information page","chromium","Wed Sep 17 08:19:24 UTC 2025","passed","Wed Sep 17 08:19:26 UTC 2025","Swag Labs Your Information Feature","swagLabs/your-information.spec.ts","",""
"","986","[swagLabs] login with error user","chromium","Wed Sep 17 08:19:20 UTC 2025","passed","Wed Sep 17 08:19:21 UTC 2025","Swaglabs login feature","swagLabs/login-feature.spec.ts","",""
"","1168","[swagLabs] sort item high to low","chromium","Wed Sep 17 08:19:18 UTC 2025","passed","Wed Sep 17 08:19:19 UTC 2025","Swag Labs Tests","swagLabs/home-feature.spec.ts","",""
"","989","[login] login failed","chromium","Wed Sep 17 08:19:19 UTC 2025","passed","Wed Sep 17 08:19:20 UTC 2025","Swaglabs login feature","swagLabs/login-feature.spec.ts","",""
"","1231","[swagLabs] sort item low to high","chromium","Wed Sep 17 08:19:17 UTC 2025","passed","Wed Sep 17 08:19:19 UTC 2025","Swag Labs Tests","swagLabs/home-feature.spec.ts","",""
"","979","[swagLabs] login with visual user","chromium","Wed Sep 17 08:19:20 UTC 2025","passed","Wed Sep 17 08:19:21 UTC 2025","Swaglabs login feature","swagLabs/login-feature.spec.ts","",""
"","1894","verify user can remove item from cart","chromium","Wed Sep 17 08:19:22 UTC 2025","passed","Wed Sep 17 08:19:24 UTC 2025","Swag Labs Your Cart Feature","swagLabs/your-cart-feature.spec.ts","",""
"","6949","[swagLabs] login with performance glitch user","chromium","Wed Sep 17 08:19:19 UTC 2025","passed","Wed Sep 17 08:19:26 UTC 2025","Swaglabs login feature","swagLabs/login-feature.spec.ts","",""
"","1378","[swagLabs] sort item A to Z","chromium","Wed Sep 17 08:19:16 UTC 2025","passed","Wed Sep 17 08:19:17 UTC 2025","Swag Labs Tests","swagLabs/home-feature.spec.ts","",""
"","1500","[swagLabs] sort item Z to A","chromium","Wed Sep 17 08:19:16 UTC 2025","passed","Wed Sep 17 08:19:17 UTC 2025","Swag Labs Tests","swagLabs/home-feature.spec.ts","",""
